name	long_name	alias	rule	group
M00157	"F-type ATPase, prokaryotes and chloroplasts"	m157	path_subunits(K02111 & K02112 & K02113 & K02114 & K02115 & K02108 & K02109 & K02110)	Complex V
M00158	"F-type ATPase, eukaryotes"	m158	path_subunits(K02132 & K02133 & K02136 & K02134 & K02135 & K02137 & K02126 & K02127 & K02128 & K02138 & [K02129 | K01549] & [K02130 | K02139] & K02140 & [K02141 | K02131] & K02125)	Complex V
M00159	"V/A-type ATPase, prokaryotes"	m159	path_subunits(K02117 & K02118 & K02119 & K02120 & K02121 & K02122 & K02107 & K02123 & K02124)	Complex V
M00160	"V-type ATPase, eukaryotes"	m160	path_subunits(K02145 & K02147 & K02148 & K02149 & K02150 & K02151 & K02152 & K02144 & K02154 & [K03661 | K02155] & K02146 & K02153 & K03662)	Complex V
Photosystem I	psaA-F; photosystem I P700 chlorophyll a apoprotein A1		K02689 | K02690 | K02691 | K02692 | K02693 | K02694 | K08940 | K08941 | K08942 | K08943	Photo
Photosystem II	"psbA, psbD photosystem II reaction center D1 protein [EC:1.10.3.9]"		K02703 | K02704 | K02705 | K02706 | K02707 | K02708 | K08928 | K08929	Photo
ammonia => nitrite	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]		EC:1.14.99.39	Nitrogen
Bacterial/Archaeal ammonia oxidation	amoA; Methane/ammonia monooxygenase subunit A (aka: particulate ammonia monooxygenase) [EC:1.14.99.39] [RN:R00148]		K10944 | K10945 | K10946	Nitrogen
Bacterial (aerobic-specific) ammonia oxidation	hao: Hydroxylamine dehydrogenase [EC:1.7.2.6] [RN:R10164]		K10535	Nitrogen
Bacterial (anaerobic-specific) ammonia oxidation	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]		K20932 | K20933 | K20934 | K20935	Nitrogen
nitrite=> nitrate	"nxrA; Nitrite oxidoreductase, alpha subunit [EC:1.7.99.-] [RN:R00978]; nxrB; Nitrite oxidoreductase, beta subunit [EC:1.7.99.-] [RN:R00978]"		K00370 | K00371	Nitrogen
nitrate => nitrite	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798] or nitrate reductase 1 NarG [EC:1.7.99.-] [RN:R00798]		K02567 | K00370 | K00371 | K02568	Nitrogen
nitrite => nitric oxide	respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787]		K00362 | K00368 | K15864	Nitrogen
Dissimilatory nitrite reduction to ammonia (DNRA)	nrfA; Nitrite reductase (cytochrome c-552) [EC:1.7.2.2] [RN:R05712]; nrfH; cytochrome c nitrite reductase small subunit [EC:1.7.2.2] [RN:R05712]		K03385 | K15876	Nitrogen
nitric oxide => nitrous oxide	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]		K04561 | K15877	Nitrogen
nitrous oxide => nitrogen	nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804]		K00376	Nitrogen
nitrogen => ammonia	nitrogenase iron protein [RN:R05185]		K02588 | K02586	Nitrogen
Nitrogen fixation altennative	vnfD; Vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2] [RN:R12084]		K22896	Nitrogen
dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]		K11180 | K11181	Sulfur
thiosulfate => sulfite	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]		K08352	Sulfur
"Thiosulfate oxidation by SOX complex, thiosulfate => sulfate"			K17222 | K17223 | K17224 | K17225 | K22622 | K17226 | K17227	Sulfur
tetrathionate => thiosulfate			K08357	Sulfur
selenate/Chlorate reduction	selenate/chlorate reductase subunit alpha		K17050	Other
TMAO reductase	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]		K07811	Other
mercury reduction	mercury(II) reductase		EC:1.16.1.1	Other
"arsenate reduction, pt 1"	arsenate reductase (glutaredoxin); ArsC (ambiguous)		EC:1.20.4.1	Other
"arsenate reduction, pt 2"	arsenate reductase (donor); arsenate:(acceptor) oxidoreductase		EC:1.20.99.1	Other
Key functional gene 	methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541]		K00399 | K00401 | K00402	C1 metabolism
"acetate => methane, pt 1"	acetyl-CoA synthetase [EC:6.2.1.1] [RN:R00235]		K01895	C1 metabolism
"acetate => methane, pt 2"	acetate kinase [EC:2.7.2.1] [RN:R00315]		K00925	C1 metabolism
"acetate => methane, pt 3"	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]		K00625	C1 metabolism
methanol => methane	mtaB; 5-hydroxybenzimidazolylcobamide Co-methyltransferase		K04480	C1 metabolism
trimethylamine => dimethylamine	mttB; trimethylamine corrinoid protein Co-methyltransferase		K14083	C1 metabolism
dimethylamine => monomethylamine	mtbB; dimethylamine corrinoid protein Co-methyltransferase		K16178	C1 metabolism
monomethylamine => ammonia	mtmB; methylamine corrinoid protein Co-methyltransferase		K16176	C1 metabolism
putative but not defining CO2 => methane	formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015]		K00200	C1 metabolism
"methane => methanol, with oxygen (pmo)"	"pmoA; Methane/ammonia monooxygenase subunit A (aka: Particulate methane monoxygenase, or subunit Beta) [EC:1.14.18.3] [RN:R09518]"		K10944 | K10945 | K10946	C1 metabolism
"methane => methanol, with oxygen (mmo)"	"mmoX; Methane monooxygenase component A alpha chain (aka: Soluble methane monooxygenase, or methane hydroxylase) [EC1.14.13.25] [RN:R01142]"		K16157 | K16158 | K16159 | K16160 | K16161 | K16162	C1 metabolism
Polyphenolics	Polyphenolics Cleavage		K05909 | AA1 | AA2 | K00422	CAZy
Crystalline Cellulose	Crystalline Cellulose Backbone Cleavage		GH7 | GH48 | AA10 | AA15 | AA16 | AA9 | AA10 | AA11 | AA13	CAZy
Amorphous Cellulose Backbone Cleavage	Amorphous Cellulose Backbone Cleavage		GH5 | GH6 | GH7 | GH8 | GH9 | GH10 | GH124 | GH12 | GH44 | GH45	CAZy
Amorphous Cellulose Oligo Cleavage	Amorphous Cellulose Oligo Cleavage		GH94 | GH1 | GH2 | GH3 | GH5 | GH9 | GH16 | GH116	CAZy
Mucin Backbone Cleavage	Mucin Backbone Cleavage		GH101	CAZy
Mucin Oligo Cleavage	Mucin Oligo Cleavage		GH27 | GH129 | GH112 | GH109 | GH31 | GH36	CAZy
Sulf-Polysachharides Backbone Cleavage	Sulf-Polysachharides Backbone Cleavage		GH111 | GH16 | GH82 | GH150 | GH79 | PL29 | PL30 | PL33 | PL8 | PL12 | PL13 | PL15 | PL21 | PL6 | PL37 | GH56 | GH86	CAZy
Sulf-Polysachharides Oligo Cleavage	Sulf-Polysachharides Oligo Cleavage		PL21 | PL37 | PL23 | PL24 | PL25 | GH88 | PL15 | PL6 | GH117	CAZy
Xyloglucan Backbone Cleavage	Xyloglucan Backbone Cleavage (Hemicellulose)		GH5 | GH9 | GH12 | GH16 | GH44 | GH45 | GH48 | GH74 | AA9	CAZy
Xyloglucan Oligo Cleavage	Xyloglucan Oligo Cleavage (Hemicellulose)		GH31 | GH43 | GH10 | GH2	CAZy
Starch Backbone Cleavage	Starch Backbone Cleavage		AA13 | GH13 | GH14 | GH57 | GH119 | GH126	CAZy
Starch Oligo Cleavage	Starch Oligo Cleavage		GH133 | GH15 | GH97	CAZy
Chitin Backbone Cleavage	Chitin Backbone Cleavage		GH18 | GH19 | GH23 | GH73	CAZy
Chitin Oligo Cleavage	Chitin Oligo Cleavage		GH20 | GH3 | GH5 | GH84 | GH116 | AA10 | AA11 | AA15 | CE4	CAZy
Pectin Backbone Cleavage	Pectin Backbone Cleavage		GH28 | PL1 | PL2 | PL9 | PL10 | PL11 | PL22 | PL26 | PL3 | PL4	CAZy
Pectin Oligo Cleavage	Pectin Oligo Cleavage		GH78 | GH106 | GH138 | GH139 | GH143 | CE8 | GH105 | GH4 | CE12 | GH2	CAZy
Alpha-galactans Backbone Cleavage	Alpha-galactans Backbone Cleavage		GH166	CAZy
